Date,Open_Eth,High_Eth,Low_Eth,Close_Eth,Adj.Close_Eth,Volume_Eth,Open_sp,High_sp,Low_sp,Close_sp,Adj.Close_sp,Volume_sp
2019-06-25,310.678619,318.126312,307.643158,318.126312,318.126312,9641764965,2945.78,2946.52,2916.01,2917.38,2917.38,3578050000.0
2019-06-26,317.992584,361.398682,315.954865,336.753174,336.753174,16437084081,2926.07,2932.59,2912.99,2913.78,2913.78,3478130000.0
2019-06-27,336.9599,343.433441,278.573242,294.267639,294.267639,14038092503,2919.66,2929.3,2918.57,2924.92,2924.92,3122920000.0
2019-06-28,294.143036,313.031555,292.939819,311.226105,311.226105,11514656820,2932.94,2943.98,2929.05,2941.76,2941.76,5420700000.0
2019-01-07,290.268494,301.026154,280.022827,293.641113,293.641113,10292223948,2535.61,2566.16,2524.56,2549.69,2549.69,4104710000.0
2019-02-07,293.537262,295.655853,272.60257,291.596436,291.596436,10618413952,2717.53,2719.32,2687.26,2706.05,2706.05,4099490000.0
2019-03-07,291.764618,303.342041,291.401642,303.099976,303.099976,9926711979,2766.53,2767.25,2739.09,2748.93,2748.93,3904860000.0
2019-05-07,284.38092,293.921143,282.694702,287.997528,287.997528,8723493015,2913.03,2913.03,2862.6,2884.05,2884.05,3767100000.0
2019-06-07,287.893829,295.991425,286.665863,287.547119,287.547119,7674615025,2852.87,2884.97,2852.87,2873.34,2873.34,3220250000.0
2019-08-07,305.734772,314.267883,303.500458,313.251404,313.251404,9078905628,2858.65,2892.17,2825.71,2883.98,2883.98,4491750000.0
2019-10-07,308.851288,313.069458,285.565796,290.002319,290.002319,11679985167,2944.23,2959.75,2935.68,2938.79,2938.79,2940140000.0
2019-11-07,289.945984,290.021057,266.094666,268.704041,268.704041,10216287022,3087.02,3097.77,3080.23,3085.18,3085.18,4144640000.0
2019-07-15,227.965057,235.02565,210.391266,229.776001,229.776001,9723674244,3017.8,3017.8,3008.77,3014.3,3014.3,2874970000.0
2019-07-16,229.748657,234.51384,197.377899,199.188675,199.188675,9036620494,3012.13,3015.02,3001.15,3004.04,3004.04,3290650000.0
2019-07-17,199.066788,217.975632,193.990417,211.48497,211.48497,9387747640,3005.1,3005.26,2984.25,2984.42,2984.42,3181600000.0
2019-07-18,211.444611,229.239395,208.037735,226.566162,226.566162,9327816059,2978.87,2998.28,2973.09,2995.11,2995.11,3296580000.0
2019-07-19,226.6577,226.940475,215.838242,221.33342,221.33342,7606433131,3004.26,3006.02,2975.86,2976.61,2976.61,3260360000.0
2019-07-22,225.698654,226.862579,213.44838,217.560013,217.560013,6338843919,2981.93,2990.71,2976.65,2985.03,2985.03,3003720000.0
2019-07-23,217.568466,218.518051,209.638123,212.728516,212.728516,6976091534,2994.74,3005.9,2988.56,3005.47,3005.47,3313660000.0
2019-07-24,212.553818,217.535431,203.893402,217.046371,217.046371,7168982843,2998.77,3019.59,2996.82,3019.56,3019.56,3428980000.0
